autoEtor,cause,crewCurrentStatus,crewEta,currentEtor,estCustAffected,hazardFlag,lastUpdateTime,latitude,longitude,outageDevices,outageNumber,outageStartTime,regionName
,Our preliminary determination is that your outage was caused by an equipment issue.,PG&E is sending a repair crew to the outage location.,,,1,1,1576646177,35.39905,-118.99249,,744697,1576618625,Bakersfield
,PG&E is investigating the cause of your outage.,PG&E is assessing the cause at the outage location.,,1576681200,1,1,1576656272,36.31812,-121.86406,,744791,1576622805,Big sur
,Our preliminary determination is that your outage was caused by an equipment issue.,PG&E is sending a repair crew to the outage location.,,1576711800,1,1,1576663796,40.49751,-123.60802,,745063,1576650758,Bridgeville
1576675800,Unknown - PG&E will be assessing the cause.,PG&E assessment crew is en route to the outage.,1576670640,1576675800,5,0,1576666144,35.55058,-121.07596,,745090,1576663324,Cambria
,Our preliminary determination is that your outage was caused by an equipment issue.,PG&E is sending a repair crew to the outage location.,,1576688400,5,0,1576663162,37.10466,-120.28044,,745024,1576640643,Chowchilla
,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,,,1,0,1576668065,39.15762,-123.70408,,745099,1576668060,Elk
1576675800,PG&E is investigating the cause of your outage.,PG&E is assessing the cause at the outage location.,1576667220,1576675800,297,0,1576668013,37.76215,-120.99583,"[{'latitude': '37.77423', 'longitude': '-121.0041'}, {'latitude': '37.78028', 'longitude': '-120.99661'}, {'latitude': '37.78568', 'longitude': '-120.99045'}, {'latitude': '37.78847', 'longitude': '-120.99327'}, {'latitude': '37.79558', 'longitude': '-121.01472'}, {'latitude': '37.79157', 'longitude': '-121.01986'}, {'latitude': '37.78763', 'longitude': '-121.01947'}, {'latitude': '37.77483', 'longitude': '-121.00984'}]",745087,1576662840,Escalon
1576683000,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,,1576683000,1,0,1576666640,37.05114,-122.07404,,745097,1576665988,Felton
,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,,1576677600,3,0,1576653523,37.05114,-122.07404,,745066,1576652316,Felton
,Our preliminary determination is that your outage was caused by an equipment issue.,PG&E repair crew is on-site working to restore power.,1576658760,1576670400,22,0,1576667427,35.12527,-120.62684,,744993,1576636986,Grover Beach
1576678500,Our preliminary determination is that your outage was caused by an equipment issue.,PG&E is sending a repair crew to the outage location.,,1576678500,4,0,1576667746,39.66421,-123.47713,"[{'latitude': '39.66408', 'longitude': '-123.48262'}, {'latitude': '39.66442', 'longitude': '-123.48095'}, {'latitude': '39.66474', 'longitude': '-123.48025'}]",745084,1576662660,Laytonville
,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,,1576893600,1,0,1575654768,39.1915,-121.57043,,731381,1575654457,Marysville
,Our preliminary determination is that your outage was caused by an equipment issue.,PG&E repair crew is en route to the outage location.,1576650600,1576670400,131,3,1576659894,37.90879,-122.5475,"[{'latitude': '37.91081', 'longitude': '-122.54986'}, {'latitude': '37.91434', 'longitude': '-122.54889'}, {'latitude': '37.91778', 'longitude': '-122.55067'}, {'latitude': '37.91846', 'longitude': '-122.55257'}, {'latitude': '37.91804', 'longitude': '-122.55297'}, {'latitude': '37.91334', 'longitude': '-122.55376'}, {'latitude': '37.91213', 'longitude': '-122.55383'}]",744916,1576629660,Mill Valley
,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,,1576670400,268,0,1576660619,37.90879,-122.5475,"[{'latitude': '37.90808', 'longitude': '-122.54633'}, {'latitude': '37.90809', 'longitude': '-122.54586'}, {'latitude': '37.91084', 'longitude': '-122.54519'}, {'latitude': '37.91308', 'longitude': '-122.54496'}, {'latitude': '37.91395', 'longitude': '-122.54585'}, {'latitude': '37.9157', 'longitude': '-122.54793'}, {'latitude': '37.9156', 'longitude': '-122.54937'}, {'latitude': '37.91466', 'longitude': '-122.5517'}, {'latitude': '37.91306', 'longitude': '-122.55064'}, {'latitude': '37.909', 'longitude': '-122.54753'}]",745007,1576637785,Mill Valley
,Unknown - PG&E will be assessing the cause.,PG&E assessment crew is en route to the outage.,,,15,0,1576667252,40.22597,-123.79081,"[{'latitude': '40.22644', 'longitude': '-123.80335'}, {'latitude': '40.22812', 'longitude': '-123.79801'}, {'latitude': '40.23139', 'longitude': '-123.79352'}, {'latitude': '40.24019', 'longitude': '-123.80571'}, {'latitude': '40.23068', 'longitude': '-123.80856'}]",745096,1576665885,Myers Flat
,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,,1576670400,46,0,1576666465,37.84928,-122.2336,"[{'latitude': '37.84912', 'longitude': '-122.23376'}, {'latitude': '37.84926', 'longitude': '-122.23383'}, {'latitude': '37.8517', 'longitude': '-122.23578'}, {'latitude': '37.85214', 'longitude': '-122.23629'}, {'latitude': '37.85102', 'longitude': '-122.23977'}, {'latitude': '37.84952', 'longitude': '-122.23549'}]",745075,1576659485,Oakland
1576674900,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,,1576674900,31,0,1576663328,37.68964,-121.87861,,745080,1576659900,Pleasanton
,Our preliminary determination is that your outage was caused by an equipment issue.,PG&E repair crew is on-site working to restore power.,,1576674000,0,0,1576661527,37.68965,-121.87864,,744701,1576618980,Pleasanton
,Our preliminary determination is that your outage was caused by an equipment issue.,PG&E repair crew is on-site working to restore power.,,1576674000,1,1,1576657185,35.36273,-119.17943,,744948,1576632674,Rosedale
,Our preliminary determination is that your outage was caused by an equipment issue.,PG&E repair crew is on-site working to restore power.,,1576677600,10,0,1576657487,37.99926,-122.57435,,744357,1576604236,San Anselmo
,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E has assigned a crew to assess the outage.,,1576677600,11,0,1576665783,37.99908,-122.57322,,745082,1576662160,San Anselmo
1576676700,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,,1576676700,17,0,1576664451,37.33175,-121.79706,,745094,1576664374,San Jose
,Our preliminary determination is that your outage was caused by an equipment issue.,PG&E repair crew is on-site working to restore power.,,1576681200,14,0,1576663207,37.26904,-121.80782,,744973,1576634832,San Jose
,Our preliminary determination is that your outage was caused by an equipment issue.,PG&E repair crew is on-site working to restore power.,,1576681200,1,0,1576663219,37.26905,-121.80564,,744974,1576634833,San Jose
,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E has assigned a crew to assess the outage.,,1576674000,1,0,1576651680,37.33727,-121.89468,,745065,1576649340,San Jose
,PG&E is investigating the cause of your outage.,PG&E has assigned a crew to assess the outage.,,1576699200,1,0,1576639127,36.98825,-122.01353,,744665,1576617526,Santa Cruz
,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,,1576629000,35,0,1576629910,38.55399,-122.72062,"[{'latitude': '38.55196', 'longitude': '-122.73328'}, {'latitude': '38.55321', 'longitude': '-122.72666'}, {'latitude': '38.55504', 'longitude': '-122.72048'}, {'latitude': '38.5575', 'longitude': '-122.72003'}, {'latitude': '38.56415', 'longitude': '-122.72683'}, {'latitude': '38.56469', 'longitude': '-122.731'}, {'latitude': '38.56186', 'longitude': '-122.73921'}, {'latitude': '38.55423', 'longitude': '-122.73637'}, {'latitude': '38.5527', 'longitude': '-122.73432'}]",744349,1576603988,Santa Rosa
1576671300,PG&E is investigating the cause of your outage.,PG&E is assessing the cause at the outage location.,,1576671300,8,0,1576668253,40.4551,-124.06042,"[{'latitude': '40.45562', 'longitude': '-124.05919'}, {'latitude': '40.45613', 'longitude': '-124.05758'}, {'latitude': '40.45647', 'longitude': '-124.05663'}, {'latitude': '40.4571', 'longitude': '-124.05698'}, {'latitude': '40.45666', 'longitude': '-124.05851'}, {'latitude': '40.45599', 'longitude': '-124.06042'}]",745077,1576660406,Scotia
,Our preliminary determination is that your outage was caused by an equipment issue.,PG&E repair crew is on-site working to restore power.,,1576681200,59,0,1576649861,37.06603,-121.99688,,744956,1576633698,Scotts Valley
,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,,1576627200,1,0,1576599054,38.40746,-122.9058,,744159,1576598700,Sebastopol
,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,,1576884600,2,0,1576511526,38.00595,-121.39269,,734331,1575911989,Stockton
,Our preliminary determination is that your outage was caused by an equipment issue.,PG&E repair crew is on-site working to restore power.,,1576690200,10,0,1576665409,38.03697,-121.28601,,745044,1576637520,Stockton
1576678500,Unknown - PG&E will be assessing the cause.,PG&E assessment crew is en route to the outage.,1576668720,1576678500,573,2,1576668251,38.07576,-122.23056,"[{'latitude': '38.07551', 'longitude': '-122.22717'}, {'latitude': '38.08992', 'longitude': '-122.22908'}, {'latitude': '38.08986', 'longitude': '-122.23018'}, {'latitude': '38.0884', 'longitude': '-122.23443'}, {'latitude': '38.08649', 'longitude': '-122.23574'}, {'latitude': '38.08394', 'longitude': '-122.2358'}, {'latitude': '38.08289', 'longitude': '-122.23517'}, {'latitude': '38.07637', 'longitude': '-122.231'}]",745095,1576665300,Vallejo
1576674900,PG&E is investigating the cause of your outage.,PG&E is assessing the cause at the outage location.,,1576674900,221,0,1576668355,37.38605,-120.61356,"[{'latitude': '37.3839', 'longitude': '-120.61026'}, {'latitude': '37.3906', 'longitude': '-120.61147'}, {'latitude': '37.39429', 'longitude': '-120.61378'}, {'latitude': '37.39479', 'longitude': '-120.61427'}, {'latitude': '37.39479', 'longitude': '-120.61485'}, {'latitude': '37.38675', 'longitude': '-120.61358'}, {'latitude': '37.3857', 'longitude': '-120.61283'}, {'latitude': '37.38514', 'longitude': '-120.61232'}, {'latitude': '37.38435', 'longitude': '-120.61105'}]",745092,1576663380,Winton
